H* Data,H* Data,H* Data,H* Data,H* Data,H* Data,H* Data,,O* Data,O* Data,O* Data,O* Data,O* Data,O* Data,,OH* Data,OH* Data,OH* Data,OH* Data,OH* Data,OH* Data
Metals,Facet,Config,Site Fraction,Eads (eV),Adsorbed Surface Eform (eV),Surface Only Eform (eV),,Metals,Facet,Config,Site Fraction,Eads (eV),Adsorbed Surface Eform (eV),,Metals,Facet,Config,Site Fraction,Eads (eV),Adsorbed Surface Eform (eV)
NiPd,100,sub-close,0.25,-0.2723955,6.2234513,6.4958468,,NiPd,100,sub-close,0.25,-2.2721715,4.2236753,,NiPd,100,surf-far,0.5,-2.393792,3.5067608
NiPd,100,sub-adj,0.5,-0.3413855,6.1544613,6.4958468,,NiPd,100,sub-adj,0.5,-2.3636655,4.1321813,,NiPd,100,sub-close,0.5,-2.530613,3.9652338
NiPd,100,sub-diag,0.25,-0.4308925,6.0649543,6.4958468,,NiPd,100,sub-diag,0.25,-2.4529545,4.0428923,,NiPd,100,sub-far,0.5,-2.514727,3.9811198
NiPd,110,surf-close,0.5,-0.1634005,8.5095489,8.6729494,,NiPd,110,surf-close,0.5,-1.1936615,7.4792879,,NiPd,110,surf-close,0.5,-2.258422,6.4145274
NiPd,110,surf-far,0.5,-0.2581665,8.4147829,8.6729494,,NiPd,110,surf-far,0.5,-1.8370225,6.8359269,,NiPd,110,surf-far,0.5,-2.657328,6.0156214
NiPd,110,sub-close,0.5,-0.2348425,8.8072569,9.0420994,,NiPd,110,sub-close,0.5,-1.7868715,7.2552279,,NiPd,110,sub-close,0.5,-2.595657,6.4464424
NiPd,110,sub-far,0.5,-0.2734405,8.7686589,9.0420994,,NiPd,110,sub-far,0.5,-1.8271345,7.2149649,,NiPd,110,sub-far,0.5,-2.667843,6.3742564
NiPt,111,surf-close,0.75,-0.2578195,3.8036656,4.0614851,,NiPt,111,surf-close,0.75,-1.4357985,2.6256866,,NiPt,111,surf-close,0.75,-1.812419,2.2490661
NiPt,111,surf-far,0.25,-0.2609665,3.8005186,4.0614851,,NiPt,111,surf-far,0.25,-1.6641565,2.3973286,,NiPt,111,surf-far,0.25,-1.925236,2.1362491
NiPt,111,sub-close,0.75,-0.4047425,4.1371796,4.5419221,,NiPt,111,sub-close,0.75,-2.1519705,2.3899516,,NiPt,111,sub-close,0.75,-2.282571,2.2593511
NiPt,111,sub-far,0.25,-0.5088995,4.0330226,4.5419221,,NiPt,111,sub-far,0.25,-2.2875305,2.2543916,,NiPt,111,sub-far,0.25,-2.44353,2.0983921
NiPt,100,surf,1,-0.2500785,5.4859346,5.7360131,,NiPt,100,surf,1,-2.0224855,3.7135276,,NiPt,100,surf-close,0.5,-2.03406,3.7019531
NiPt,100,sub-close,0.25,-0.1779905,5.8743326,6.0523231,,NiPt,100,sub-close,0.25,-2.0842985,3.9680246,,NiPt,100,surf-far,0.5,-2.333809,3.4022041
NiPt,100,sub-adj,0.5,-0.3369805,5.7153426,6.0523231,,NiPt,100,sub-adj,0.5,-2.3495235,3.7027996,,NiPt,100,sub-close,0.5,-2.506082,3.5462411
NiPt,100,sub-diag,0.25,-0.4884615,5.5638616,6.0523231,,NiPt,100,sub-diag,0.25,-2.5219375,3.5303856,,NiPt,100,sub-far,0.5,-2.541774,3.5105491
NiPt,110,surf-close,0.5,-0.3068705,8.2673712,8.5742417,,NiPt,110,surf-close,0.5,-1.3545155,7.2197262,,NiPt,110,surf-close,0.5,-2.154616,6.4196257
NiPt,110,surf-far,0.5,-0.2379325,8.3363092,8.5742417,,NiPt,110,surf-far,0.5,-1.8065805,6.7676612,,NiPt,110,surf-far,0.5,-2.673756,5.9004857
NiPt,110,sub-close,0.5,-0.1963555,8.3737662,8.5701217,,NiPt,110,sub-close,0.5,-1.6536595,6.9164622,,NiPt,110,sub-close,0.5,-2.52681,6.0433117
NiPt,110,sub-far,0.5,-0.2715645,8.2985572,8.5701217,,NiPt,110,sub-far,0.5,-1.8009135,6.7692082,,NiPt,110,sub-far,0.5,-2.630536,5.9395857
NiRe,111,surf-close,0.75,-0.3973115,5.0647765,5.462088,,NiRe,111,surf-close,0.75,-2.8634915,2.5985965,,NiRe,111,surf-close,0.75,-2.331829,3.130259
NiRe,111,surf-far,0.25,-0.3769895,5.0850985,5.462088,,NiRe,111,surf-far,0.25,-1.3946085,4.0674795,,NiRe,111,surf-far,0.25,-1.554534,3.907554
NiRe,111,sub-close,0.75,-0.4518285,4.4956645,4.947493,,NiRe,111,sub-close,0.75,-2.1311785,2.8163145,,NiRe,111,sub-close,0.75,-2.188241,2.759252
NiRe,111,sub-far,0.25,-0.3513865,4.5961065,4.947493,,NiRe,111,sub-far,0.25,-1.8002255,3.1472675,,NiRe,111,sub-far,0.25,-2.260983,2.68651
NiRe,100,surf,1,-0.3903185,7.0618635,7.452182,,NiRe,100,surf,1,-3.2035555,4.2486265,,NiRe,100,surf-close,0.5,-3.130453,4.321729
NiRe,100,sub-close,0.25,-0.2508485,6.1177215,6.36857,,NiRe,100,sub-close,0.25,-1.9298605,4.4387095,,NiRe,100,surf-far,0.5,-2.31032,5.141862
NiRe,100,sub-adj,0.5,-0.3690625,5.9995075,6.36857,,NiRe,100,sub-adj,0.5,-2.4431215,3.9254485,,NiRe,100,sub-close,0.5,-2.396002,3.972568
NiRe,100,sub-diag,0.25,-0.4573565,5.9112135,6.36857,,NiRe,100,sub-diag,0.25,-2.2294715,4.1390985,,NiRe,100,sub-far,0.5,-2.489116,3.879454
NiRe,110,surf-close,0.5,-0.6825955,9.6152761,10.2978716,,NiRe,110,surf-close,0.5,-3.5644125,6.7334591,,NiRe,110,surf-close,0.5,-3.412319,6.8855526
NiRe,110,surf-far,0.5,-0.1932855,10.1045861,10.2978716,,NiRe,110,surf-far,0.5,-1.6644335,8.6334381,,NiRe,110,surf-far,0.5,-2.522115,7.7757566
NiRe,110,sub-close,0.5,-0.3597345,9.0347881,9.3945226,,NiRe,110,sub-close,0.5,-1.6525745,7.7419481,,NiRe,110,sub-close,0.5,-2.565349,6.8291736
NiRe,110,sub-far,0.5,-0.2525685,9.1419541,9.3945226,,NiRe,110,sub-far,0.5,-1.7945735,7.5999491,,NiRe,110,sub-far,0.5,-2.634118,6.7604046
NiRh,111,surf-close,0.75,-0.3402975,4.2803352,4.6206327,,NiRh,111,surf-close,0.75,-1.8905395,2.7300932,,NiRh,111,surf-close,0.75,-1.952552,2.6680807
NiRh,111,surf-far,0.25,-0.2898375,4.3307952,4.6206327,,NiRh,111,surf-far,0.25,-1.7454895,2.8751432,,NiRh,111,surf-far,0.25,-1.97121,2.6494227
